TiP	tissue	pex_interactor
TIMMDC1	tongue	PEX5
TIMMDC1	heart muscle	PEX5
TIMMDC1	skeletal muscle	PEX5
TIMMDC1	parathyroid gland	PEX5
TEX264	testis	MFF
TEX264	skin	MFF
TEX264	liver	MFF
TEX264	choroid plexus	MFF
TEX264	adrenal gland	MFF
TEX264	kidney	MFF
TEX264	parathyroid gland	MFF
CRLF3	bone marrow	PHYH
CRLF3	tonsil	PHYH
CRLF3	appendix	PHYH
CRLF3	spleen	PHYH
CRLF3	lymph node	PHYH
CRLF3	thymus	PHYH
AIG1	liver	VAPB, MFF, CYB5R3
AIG1	kidney	VAPB, MFF, CYB5R3
TRPV2	bone marrow	ARF1
TRPV2	spleen	ARF1
TRPV2	lymph node	ARF1
TRPV2	adrenal gland	ARF1
TRPV2	lung	ARF1
TRPV2	placenta	ARF1
PRKAG2	heart muscle	PDIA6
PRKAG2	basal ganglia	PDIA6
PRKAG2	urinary bladder	PDIA6
HSD17B7	liver	ACOX1
HSD17B7	choroid plexus	ACOX1
HSD17B7	adrenal gland	ACOX1
LARS1	cerebellum	DNM1L, SOD1, VIM
LARS1	tongue	DNM1L, SOD1, VIM
LARS1	pancreas	DNM1L, SOD1, VIM
LARS1	breast	DNM1L, SOD1, VIM
LARS1	skeletal muscle	DNM1L, SOD1, VIM
LARS1	choroid plexus	DNM1L, SOD1, VIM
GSKIP	duodenum	PEX19
GSKIP	retina	PEX19
GSKIP	testis	PEX19
GSKIP	small intestine	PEX19
GSKIP	colon	PEX19
GSKIP	esophagus	PEX19
GSKIP	rectum	PEX19
ANAPC11	amygdala	PEX1
ANAPC11	heart muscle	PEX1
ANAPC11	skeletal muscle	PEX1
PPHLN1	testis	VIM
PPHLN1	thymus	VIM
ZCCHC17	amygdala	EHHADH
ZCCHC17	cerebral cortex	EHHADH
ZCCHC17	spinal cord	EHHADH
ZCCHC17	epididymis	EHHADH
ZCCHC17	midbrain	EHHADH
ZCCHC17	hippocampal formation	EHHADH
ZCCHC17	heart muscle	EHHADH
ZCCHC17	hypothalamus	EHHADH
ZCCHC17	basal ganglia	EHHADH
IL23A	tonsil	PEX19
IL23A	urinary bladder	PEX19
MBIP	thyroid gland	PEX1, VIM
MBIP	bone marrow	PEX1, VIM
MBIP	ovary	PEX1, VIM
MBIP	stomach	PEX1, VIM
MBIP	lung	PEX1, VIM
ARMCX3	epididymis	EHHADH
ARMCX3	parathyroid gland	EHHADH
PIAS4	testis	VIM, IMPDH2
PIAS4	cerebellum	VIM, IMPDH2
SRRT	testis	VIM
CUTA	pituitary gland	SOD1
CUTA	choroid plexus	SOD1
GET4	testis	SOD2
GET4	liver	SOD2
GET4	adrenal gland	SOD2
GET4	kidney	SOD2
ERGIC3	epididymis	PEX11G, PEX16, EHHADH, FIS1, MFF
ERGIC3	fallopian tube	PEX11G, PEX16, EHHADH, FIS1, MFF
ERGIC3	choroid plexus	PEX11G, PEX16, EHHADH, FIS1, MFF
LUC7L2	thyroid gland	RHOA
LUC7L2	bone marrow	RHOA
LUC7L2	skeletal muscle	RHOA
LUC7L2	thymus	RHOA
RTRAF	testis	DNM1L, SOD1
RTRAF	bone marrow	DNM1L, SOD1
RTRAF	heart muscle	DNM1L, SOD1
RTRAF	skeletal muscle	DNM1L, SOD1
SF3B6	bone marrow	DNM1L
CIAO2B	skeletal muscle	VIM
RASD1	pituitary gland	TRIM37
RASD1	adipose tissue	TRIM37
RASD1	breast	TRIM37
RASD1	liver	TRIM37
RASD1	skeletal muscle	TRIM37
RASD1	kidney	TRIM37
FKBP7	cervix	PEX19
FKBP7	ovary	PEX19
FKBP7	endometrium	PEX19
SARAF	epididymis	ABCD4
SUFU	skin	PEX26
LSM8	bone marrow	SOD1
WBP11	testis	ARF1
WBP11	bone marrow	ARF1
WBP11	tongue	ARF1
WBP11	heart muscle	ARF1
WBP11	skeletal muscle	ARF1
SYT17	amygdala	CCDC33
SYT17	hippocampal formation	CCDC33
SYT17	hypothalamus	CCDC33
TM6SF1	thyroid gland	MFF, PEX5
TM6SF1	tongue	MFF, PEX5
TM6SF1	heart muscle	MFF, PEX5
TM6SF1	skeletal muscle	MFF, PEX5
TM6SF1	lung	MFF, PEX5
UBASH3A	lymph node	CCDC33, TRIM37
UBASH3A	thymus	CCDC33, TRIM37
FXYD6	cerebral cortex	PEX12, MFF, TMEM35A
FXYD6	colon	PEX12, MFF, TMEM35A
FXYD6	endometrium	PEX12, MFF, TMEM35A
RBM11	spinal cord	ACOT1, VIM
RBM11	epididymis	ACOT1, VIM
RIPK4	esophagus	RHOA
CYCS	tongue	CROT
CYCS	heart muscle	CROT
CYCS	colon	CROT
CYCS	rectum	CROT
CYCS	skeletal muscle	CROT
CYCS	parathyroid gland	CROT
ANLN	amygdala	RHOA
ANLN	cerebral cortex	RHOA
ANLN	spinal cord	RHOA
ANLN	midbrain	RHOA
ANLN	bone marrow	RHOA
ANLN	hippocampal formation	RHOA
ANLN	hypothalamus	RHOA
PRR13	duodenum	PEX5
PRR13	bone marrow	PEX5
PRR13	small intestine	PEX5
PRR13	colon	PEX5
PRR13	kidney	PEX5
XRN1	bone marrow	LDHA
XRN1	liver	LDHA
MIEF1	testis	DNM1L
MIEF1	bone marrow	DNM1L
MIEF1	liver	DNM1L
MIEF1	kidney	DNM1L
MTRF1L	retina	PDIA6
MTRF1L	tongue	PDIA6
MTRF1L	heart muscle	PDIA6
MTRF1L	skeletal muscle	PDIA6
MTRF1L	choroid plexus	PDIA6
CCHCR1	testis	CCDC33
TOMM7	tongue	PEX5
TOMM7	ovary	PEX5
TOMM7	breast	PEX5
TOMM7	skeletal muscle	PEX5
TOMM7	choroid plexus	PEX5
NECAB2	amygdala	EHHADH, CCDC33
NECAB2	cerebral cortex	EHHADH, CCDC33
NECAB2	hypothalamus	EHHADH, CCDC33
NECAB2	basal ganglia	EHHADH, CCDC33
SGTB	amygdala	PDIA6
SGTB	retina	PDIA6
SGTB	cerebral cortex	PDIA6
SGTB	cerebellum	PDIA6
SGTB	spinal cord	PDIA6
SGTB	midbrain	PDIA6
SGTB	bone marrow	PDIA6
SGTB	hippocampal formation	PDIA6
SGTB	hypothalamus	PDIA6
SGTB	basal ganglia	PDIA6
LZTFL1	cerebral cortex	EHHADH
LZTFL1	pituitary gland	EHHADH
EPDR1	cerebellum	SOD1
EPDR1	tongue	SOD1
EPDR1	skeletal muscle	SOD1
ZRANB1	bone marrow	EHHADH
ZRANB1	tongue	EHHADH
ZRANB1	liver	EHHADH
ZRANB1	skeletal muscle	EHHADH
ZRANB1	adrenal gland	EHHADH
PPP1R12C	heart muscle	EHHADH
PPP1R12C	colon	EHHADH
RNF111	bone marrow	VAPB, SOD1
KCTD9	tongue	EHHADH, CCDC33
KCTD9	heart muscle	EHHADH, CCDC33
KCTD9	skeletal muscle	EHHADH, CCDC33
AFTPH	kidney	PEX14
APTX	skin	TRIM37
APTX	liver	TRIM37
EPS8L1	esophagus	PEX1
EPS8L1	skin	PEX1
NSUN2	tonsil	SOD1
NSUN2	breast	SOD1
NSUN2	liver	SOD1
NSUN2	skeletal muscle	SOD1
LAX1	tonsil	IDH1
TASOR2	testis	HSPD1, CCDC33
SEMA4C	colon	PEX1
SEMA4C	placenta	PEX1
RPP25	retina	SOD1
RPP25	spinal cord	SOD1
RPP25	ovary	SOD1
RPP25	adrenal gland	SOD1
RPP25	parathyroid gland	SOD1
CMTM6	fallopian tube	EHHADH
CMTM6	liver	EHHADH
OCIAD1	tongue	VAPA
OCIAD1	parathyroid gland	VAPA
PPP2R3C	testis	CCDC33
C14orf119	choroid plexus	DECR2
USP47	retina	PDIA6
USP47	tongue	PDIA6
USP47	heart muscle	PDIA6
USP47	liver	PDIA6
USP47	skeletal muscle	PDIA6
UACA	skeletal muscle	VIM
IFT57	testis	GSTK1
IFT57	epididymis	GSTK1
IFT57	fallopian tube	GSTK1
IFT57	lung	GSTK1
NTAQ1	choroid plexus	AOC1, POMC, ACTG1
ATG2B	retina	PDIA6
ATG2B	cerebellum	PDIA6
ATG2B	skin	PDIA6
ATG2B	pancreas	PDIA6
AGGF1	retina	IDH1, VIM
AGGF1	epididymis	IDH1, VIM
PRMT6	choroid plexus	PEX7
PRMT6	kidney	PEX7
RESF1	ovary	VIM
RESF1	thymus	VIM
PLEKHG6	duodenum	RHOA
PLEKHG6	small intestine	RHOA
PLEKHG6	colon	RHOA
PLEKHG6	esophagus	RHOA
DPPA4	thymus	VIM
USP40	epididymis	VAPA
SLC38A7	testis	ACBD5, CYB5R3
SLC38A7	heart muscle	ACBD5, CYB5R3
SLC38A7	liver	ACBD5, CYB5R3
SLC38A7	spleen	ACBD5, CYB5R3
SLC38A7	adrenal gland	ACBD5, CYB5R3
SLC38A7	parathyroid gland	ACBD5, CYB5R3
PCMTD2	retina	ACSL6
PCMTD2	cerebellum	ACSL6
TRAPPC14	spleen	AGXT
TMEM140	adipose tissue	MFF
TMEM140	liver	MFF
TMEM140	skeletal muscle	MFF
MCM10	bone marrow	TRIM37
MCM10	thymus	TRIM37
NOP10	epididymis	SOD1
BATF3	spleen	AGXT
ASIC4	pituitary gland	PHYH
FEM1A	bone marrow	ACAA1
FEM1A	tongue	ACAA1
FEM1A	heart muscle	ACAA1
FEM1A	esophagus	ACAA1
FEM1A	skin	ACAA1
FEM1A	pancreas	ACAA1
FEM1A	skeletal muscle	ACAA1
FEM1A	parathyroid gland	ACAA1
BMP2K	tonsil	BAAT, OXCT1, ACAA1
BMP2K	lymph node	BAAT, OXCT1, ACAA1
OTUB1	amygdala	SOD1
OTUB1	cerebral cortex	SOD1
OTUB1	cerebellum	SOD1
OTUB1	hippocampal formation	SOD1
OTUB1	esophagus	SOD1
OTUB1	basal ganglia	SOD1
DOCK10	spinal cord	VIM
RNF126	testis	HMGCL
RNF126	esophagus	HMGCL
RNF126	skin	HMGCL
RNF126	skeletal muscle	HMGCL
PRPF40A	bone marrow	BAAT, CROT, SCP2
RBM22	ovary	VIM
RBM22	thymus	VIM
YJU2	bone marrow	PRDX5
KBTBD4	cerebellum	PEX1, SOD1
KBTBD4	skeletal muscle	PEX1, SOD1
ATF7IP	testis	PEX6, ACTG1
ATF7IP	bone marrow	PEX6, ACTG1
ATF7IP	tonsil	PEX6, ACTG1
ATF7IP	lymph node	PEX6, ACTG1
ATF7IP	thymus	PEX6, ACTG1
VPS35	bone marrow	DNM1L
CDK5RAP2	testis	TRIM37
CDK5RAP2	tongue	TRIM37
CDK5RAP2	salivary gland	TRIM37
CDK5RAP2	skeletal muscle	TRIM37
LMBRD1	spinal cord	ABCD4
LRIF1	retina	VIM
LRIF1	testis	VIM
LRIF1	skeletal muscle	VIM
SCN3B	amygdala	FIS1, VAPB, VAPA
SCN3B	cerebral cortex	FIS1, VAPB, VAPA
SCN3B	hippocampal formation	FIS1, VAPB, VAPA
SCN3B	pituitary gland	FIS1, VAPB, VAPA
SCN3B	hypothalamus	FIS1, VAPB, VAPA
PBK	testis	TRIM37
PBK	thymus	TRIM37
LMO3	basal ganglia	BAAT, CCDC33
MEPCE	testis	VIM
GKN1	stomach	VAPA, MFF
GKN1	spleen	VAPA, MFF
GKN1	placenta	VAPA, MFF
DIABLO	testis	EHHADH
DIABLO	choroid plexus	EHHADH
GRIPAP1	amygdala	EHHADH
GRIPAP1	cerebral cortex	EHHADH
GRIPAP1	spinal cord	EHHADH
GRIPAP1	midbrain	EHHADH
GRIPAP1	hippocampal formation	EHHADH
GRIPAP1	pituitary gland	EHHADH
GRIPAP1	hypothalamus	EHHADH
GRIPAP1	basal ganglia	EHHADH
UBQLN4	cerebral cortex	PLAAT3, HK2, CCDC33, IMPDH2
UBQLN4	basal ganglia	PLAAT3, HK2, CCDC33, IMPDH2
UBQLN4	skeletal muscle	PLAAT3, HK2, CCDC33, IMPDH2
AGPAT4	spinal cord	MFF
AGPAT4	midbrain	MFF
AGPAT4	hippocampal formation	MFF
AGPAT4	hypothalamus	MFF
DPYSL5	spinal cord	PEX1
ANKS1B	amygdala	RHOA
ANKS1B	cerebral cortex	RHOA
ANKS1B	cerebellum	RHOA
ANKS1B	spinal cord	RHOA
ANKS1B	midbrain	RHOA
ANKS1B	hippocampal formation	RHOA
ANKS1B	hypothalamus	RHOA
ANKS1B	basal ganglia	RHOA
SMCO4	salivary gland	PEX12
SMCO4	liver	PEX12
OTUD7B	spinal cord	PHYH, SOD1
OTUD7B	tongue	PHYH, SOD1
OTUD7B	skeletal muscle	PHYH, SOD1
KIF15	testis	VIM
KIF15	thymus	VIM
COQ9	tongue	EHHADH
COQ9	heart muscle	EHHADH
COQ9	skeletal muscle	EHHADH
COQ9	choroid plexus	EHHADH
COQ9	parathyroid gland	EHHADH
TRIM54	tongue	EHHADH
TRIM54	heart muscle	EHHADH
TRIM54	skeletal muscle	EHHADH
ANKRD50	testis	PEX5
ANKRD50	urinary bladder	PEX5
ANKRD50	placenta	PEX5
NIPAL3	amygdala	MFF, VIM
NIPAL3	cerebral cortex	MFF, VIM
NIPAL3	cerebellum	MFF, VIM
NIPAL3	spinal cord	MFF, VIM
NIPAL3	midbrain	MFF, VIM
NIPAL3	hippocampal formation	MFF, VIM
NIPAL3	prostate	MFF, VIM
NIPAL3	hypothalamus	MFF, VIM
NIPAL3	basal ganglia	MFF, VIM
ERGIC1	liver	EHHADH
ERGIC1	adrenal gland	EHHADH
CBX8	testis	VIM
CBX8	pituitary gland	VIM
CBX8	parathyroid gland	VIM
ABHD6	duodenum	FIS1
ABHD6	spinal cord	FIS1
ABHD6	small intestine	FIS1
ABHD6	liver	FIS1
ABHD6	spleen	FIS1
ABHD6	kidney	FIS1
ODF2L	retina	PIPOX
ARHGAP31	adipose tissue	RHOA
ARHGAP31	lung	RHOA
NUFIP2	bone marrow	PRDX5, PEX5
NUFIP2	placenta	PRDX5, PEX5
CEP126	testis	VIM
CEP126	pituitary gland	VIM
CEP126	choroid plexus	VIM
ARHGAP20	testis	RHOA
ARHGAP20	adipose tissue	RHOA
ARHGAP20	seminal vesicle	RHOA
PREX1	spinal cord	RHOA
PREX1	bone marrow	RHOA
PREX1	appendix	RHOA
PREX1	spleen	RHOA
PREX1	lymph node	RHOA
ARHGAP21	cerebral cortex	RHOA
ARHGAP21	cerebellum	RHOA
ARHGAP21	spinal cord	RHOA
ARHGAP21	midbrain	RHOA
ARHGAP21	hippocampal formation	RHOA
MRTFA	bone marrow	PEX26, SOD1
USP36	ovary	SOD2
ARHGAP23	spinal cord	RHOA
ARHGAP23	esophagus	RHOA
ARHGAP23	skin	RHOA
KIAA1549	retina	SOD2
KIAA1549	pancreas	SOD2
KIAA1549	seminal vesicle	SOD2
ZBTB26	retina	EHHADH
ZBTB26	testis	EHHADH
SLC7A14	cerebral cortex	MFF, ACSL5
SEMA4G	duodenum	PEX1
SEMA4G	cerebellum	PEX1
SEMA4G	small intestine	PEX1
SEMA4G	colon	PEX1
SEMA4G	liver	PEX1
SEMA4G	rectum	PEX1
ANKRD36B	bone marrow	EHHADH
CCAR2	bone marrow	SOD1
CXCL16	testis	PEX12, MFF, TMEM35A
CXCL16	lung	PEX12, MFF, TMEM35A
MS4A7	gallbladder	HMGCL
MS4A7	appendix	HMGCL
MS4A7	adipose tissue	HMGCL
MS4A7	liver	HMGCL
MS4A7	spleen	HMGCL
MS4A7	lung	HMGCL
ABHD17C	colon	PHYH, PEX26
ABHD17C	esophagus	PHYH, PEX26
ABHD17C	rectum	PHYH, PEX26
ARHGAP22	amygdala	RHOA
ARHGAP22	cerebral cortex	RHOA
ARHGAP22	spinal cord	RHOA
ARHGAP22	midbrain	RHOA
ARHGAP22	hippocampal formation	RHOA
ARHGAP22	hypothalamus	RHOA
NIF3L1	retina	PAICS, VIM
NIF3L1	tonsil	PAICS, VIM
CCDC90B	testis	PRDX5
CCDC90B	spinal cord	PRDX5
CCDC90B	epididymis	PRDX5
CCDC90B	liver	PRDX5
CCDC90B	adrenal gland	PRDX5
AASDHPPT	cerebral cortex	SOD1
ZFAND3	testis	PEX5
ZFAND3	skeletal muscle	PEX5
ZNF667	cerebral cortex	VIM
ZNF667	pituitary gland	VIM
GPSM3	bone marrow	SOD1
GPSM3	tonsil	SOD1
GPSM3	appendix	SOD1
GPSM3	small intestine	SOD1
GPSM3	spleen	SOD1
GPSM3	lymph node	SOD1
GPSM3	thymus	SOD1
GPSM3	urinary bladder	SOD1
GPSM3	lung	SOD1
PRDM16	stomach	ACOT8
CENPK	bone marrow	PEX14
CENPK	thymus	PEX14
NOD2	skin	FIS1, VIM
KIF9	testis	ACBD4, TRIM37, VIM
KIF9	fallopian tube	ACBD4, TRIM37, VIM
KIF9	choroid plexus	ACBD4, TRIM37, VIM
KIF9	kidney	ACBD4, TRIM37, VIM
ARHGEF28	thyroid gland	RHOA
ARHGEF28	ovary	RHOA
ARHGEF28	stomach	RHOA
ARHGEF28	salivary gland	RHOA
ARHGEF28	skin	RHOA
ARHGEF28	pancreas	RHOA
ARHGEF28	adrenal gland	RHOA
ARHGEF28	kidney	RHOA
GMCL1	thymus	EHHADH
GMCL1	parathyroid gland	EHHADH
MOSPD3	testis	MFF
MOSPD3	skin	MFF
SMURF2	retina	ACOX3
SMURF2	testis	ACOX3
SMURF2	placenta	ACOX3
RUSF1	salivary gland	TMEM35A, EHHADH
RUSF1	pancreas	TMEM35A, EHHADH
RUSF1	liver	TMEM35A, EHHADH
CCDC14	retina	DHRS2, PEX5
CCDC14	epididymis	DHRS2, PEX5
CCDC14	bone marrow	DHRS2, PEX5
CCDC14	rectum	DHRS2, PEX5
CFAP68	kidney	AGXT
PINK1	amygdala	DNM1L
PINK1	cerebral cortex	DNM1L
PINK1	spinal cord	DNM1L
PINK1	midbrain	DNM1L
PINK1	tongue	DNM1L
PINK1	heart muscle	DNM1L
PINK1	basal ganglia	DNM1L
PINK1	skeletal muscle	DNM1L
ACD	testis	LDHA, PEX5
ACD	ovary	LDHA, PEX5
TMEM237	retina	MFF
MRPL44	skeletal muscle	VIM
MARCKSL1	amygdala	SOD1
MARCKSL1	spinal cord	SOD1
MARCKSL1	midbrain	SOD1
MARCKSL1	hippocampal formation	SOD1
MARCKSL1	ovary	SOD1
MARCKSL1	hypothalamus	SOD1
CAPRIN2	retina	PEX5
CAPRIN2	testis	PEX5
CAPRIN2	cerebral cortex	PEX5
CAPRIN2	cerebellum	PEX5
CAPRIN2	heart muscle	PEX5
CAPRIN2	hypothalamus	PEX5
CAPRIN2	basal ganglia	PEX5
ZBTB10	bone marrow	EHHADH
ZBTB10	liver	EHHADH
ZBTB10	placenta	EHHADH
CYP4F12	duodenum	SOD2
CYP4F12	small intestine	SOD2
CYP4F12	liver	SOD2
VKORC1	liver	FIS1, VAPB, PDIA6
SCNM1	bone marrow	TRIM37, CCDC33, VIM
SCNM1	skeletal muscle	TRIM37, CCDC33, VIM
TMEM106C	duodenum	TMEM35A
TMEM106C	retina	TMEM35A
TMEM106C	epididymis	TMEM35A
TMEM106C	small intestine	TMEM35A
TMEM106C	colon	TMEM35A
TMEM106C	rectum	TMEM35A
TMEM106C	choroid plexus	TMEM35A
TMEM106C	parathyroid gland	TMEM35A
AHNAK	skin	NUDT12
ZNF655	esophagus	ACSL6, TRIM37, SZT2, IDI1
ZNF655	pancreas	ACSL6, TRIM37, SZT2, IDI1
ZNF655	thymus	ACSL6, TRIM37, SZT2, IDI1
KCTD15	skin	PEX26
NOC4L	testis	VIM
PRRG4	esophagus	PEX13
PRRG4	skin	PEX13
PRRG4	liver	PEX13
BBLN	amygdala	PEX26
BBLN	cerebral cortex	PEX26
BBLN	hippocampal formation	PEX26
BBLN	basal ganglia	PEX26
BBLN	adrenal gland	PEX26
FA2H	spinal cord	PEX12
FA2H	midbrain	PEX12
FA2H	hippocampal formation	PEX12
FA2H	stomach	PEX12
CPLANE2	cerebral cortex	IMPDH2
ZXDC	bone marrow	SOD1
ZXDC	pancreas	SOD1
ZXDC	skeletal muscle	SOD1
CYBC1	liver	PEX12, MFF
CYBC1	spleen	PEX12, MFF
GCC1	testis	CCDC33
FAM118B	basal ganglia	VIM
FAM118B	skeletal muscle	VIM
FAM118B	choroid plexus	VIM
ARMC7	cerebellum	CCDC33, VIM
MCPH1	bone marrow	HSPD1, ACTG1, PMVK, VIM
MCPH1	skeletal muscle	HSPD1, ACTG1, PMVK, VIM
MCPH1	thymus	HSPD1, ACTG1, PMVK, VIM
C3orf52	stomach	MFF
C3orf52	skin	MFF
C3orf52	pancreas	MFF
C3orf52	rectum	MFF
ZNF329	retina	TRIM37
ZNF329	parathyroid gland	TRIM37
CENPU	testis	VIM
TBL1XR1	thyroid gland	SOD1
TBL1XR1	retina	SOD1
TBL1XR1	thymus	SOD1
WDR59	retina	VIM
E2F8	bone marrow	PEX26
E2F8	skeletal muscle	PEX26
CCDC102B	gallbladder	EHHADH, POMC, CCDC33
CCDC102B	adipose tissue	EHHADH, POMC, CCDC33
CCDC102B	lymph node	EHHADH, POMC, CCDC33
CCDC102B	urinary bladder	EHHADH, POMC, CCDC33
CCDC102B	lung	EHHADH, POMC, CCDC33
CCDC102B	placenta	EHHADH, POMC, CCDC33
FAM124B	adipose tissue	TRIM37
FAM124B	placenta	TRIM37
RBFA	liver	PEX12
RBFA	skeletal muscle	PEX12
CPSF7	pituitary gland	SOD1
NUDT18	epididymis	PAICS, TRIM37
NUDT18	pancreas	PAICS, TRIM37
CYBRD1	duodenum	VAPB, VAPA
CYBRD1	small intestine	VAPB, VAPA
TCEAL4	cervix	PEX1
TCEAL4	ovary	PEX1
TCEAL4	fallopian tube	PEX1
TCEAL4	endometrium	PEX1
TCEAL4	urinary bladder	PEX1
TCEAL4	choroid plexus	PEX1
SPEF2	choroid plexus	VIM
ERMP1	thyroid gland	PEX12
ERMP1	esophagus	PEX12
ERMP1	salivary gland	PEX12
ERMP1	urinary bladder	PEX12
ERMP1	kidney	PEX12
ERMP1	parathyroid gland	PEX12
CEP76	testis	PAICS
CEP76	cerebellum	PAICS
CEP76	bone marrow	PAICS
CEP76	thymus	PAICS
WLS	retina	PEX11B
WLS	epididymis	PEX11B
WLS	choroid plexus	PEX11B
PSME3IP1	bone marrow	SOD2
TMEM254	epididymis	MFF
TMEM254	prostate	MFF
TMEM254	esophagus	MFF
TMEM254	skin	MFF
TMEM254	liver	MFF
PREX2	adipose tissue	RHOA
PREX2	basal ganglia	RHOA
SP6	skin	SOD1
SP6	placenta	SOD1
CEP70	duodenum	SOD2, HSPD1
CEP70	thyroid gland	SOD2, HSPD1
CEP70	retina	SOD2, HSPD1
CEP70	testis	SOD2, HSPD1
CEP70	thymus	SOD2, HSPD1
TRAF3IP3	bone marrow	MFF
TRAF3IP3	tonsil	MFF
TRAF3IP3	appendix	MFF
TRAF3IP3	small intestine	MFF
TRAF3IP3	spleen	MFF
TRAF3IP3	lymph node	MFF
TRAF3IP3	thymus	MFF
REEP4	testis	VAPB, PEX16, CYB5R3
REEP4	esophagus	VAPB, PEX16, CYB5R3
REEP4	skin	VAPB, PEX16, CYB5R3
REEP4	spleen	VAPB, PEX16, CYB5R3
REEP4	vagina	VAPB, PEX16, CYB5R3
SKIC8	epididymis	VAPB, PEX1, PEX26, SOD1
SKIC8	choroid plexus	VAPB, PEX1, PEX26, SOD1
TSGA10	testis	CCDC33
TSGA10	fallopian tube	CCDC33
THSD7B	retina	PEX12, HSPD1
AARSD1	testis	CRAT
AARSD1	cerebral cortex	CRAT
AARSD1	tongue	CRAT
AARSD1	heart muscle	CRAT
AARSD1	skeletal muscle	CRAT
TMEM121	amygdala	EHHADH
TMEM121	cerebral cortex	EHHADH
TMEM121	hippocampal formation	EHHADH
TMEM121	hypothalamus	EHHADH
TMEM121	basal ganglia	EHHADH
CYB5B	adrenal gland	TMEM35A, MFF
APOL3	liver	LDHA
APOL3	spleen	LDHA
APOL3	lymph node	LDHA
SYNC	skeletal muscle	VIM
GDPD5	retina	PEX5
GDPD5	testis	PEX5
GDPD5	cerebellum	PEX5
GDPD5	pancreas	PEX5
GDPD5	adipose tissue	PEX5
GDPD5	breast	PEX5
GDPD5	spleen	PEX5
UNC93B1	spleen	MFF
TSC22D4	amygdala	CCDC33
TSC22D4	hippocampal formation	CCDC33
TSC22D4	hypothalamus	CCDC33
TSC22D4	basal ganglia	CCDC33
TMEM14B	thyroid gland	PEX11G, CYB5R3, FIS1, ACSL5
TMEM14B	retina	PEX11G, CYB5R3, FIS1, ACSL5
TMEM14B	bone marrow	PEX11G, CYB5R3, FIS1, ACSL5
TMEM14B	tongue	PEX11G, CYB5R3, FIS1, ACSL5
TMEM14B	heart muscle	PEX11G, CYB5R3, FIS1, ACSL5
TMEM14B	skeletal muscle	PEX11G, CYB5R3, FIS1, ACSL5
L3MBTL2	cerebral cortex	CCDC33, PAICS
TMEM120A	tongue	TMEM35A
TMEM120A	adrenal gland	TMEM35A
USHBP1	lung	CCDC33
RBM48	cerebellum	VIM
RBM48	spinal cord	VIM
TMEM222	choroid plexus	PEX12, TMEM35A
SLC41A2	duodenum	MFF
SLC41A2	stomach	MFF
SLC41A2	small intestine	MFF
SLC41A2	colon	MFF
SLC41A2	liver	MFF
PCGF6	testis	PEX10
PCGF6	liver	PEX10
PCGF6	skeletal muscle	PEX10
FAM161A	retina	TRIM37, CCDC33, VIM
FAM161A	testis	TRIM37, CCDC33, VIM
BLTP1	retina	SOD1
SLF1	testis	PDIA6
CAMKK1	amygdala	SOD1
CAMKK1	cerebral cortex	SOD1
CAMKK1	cerebellum	SOD1
CAMKK1	hippocampal formation	SOD1
CAMKK1	salivary gland	SOD1
CAMKK1	pituitary gland	SOD1
CAMKK1	basal ganglia	SOD1
TCHP	cerebellum	VIM
ING5	cerebellum	CCDC33, VIM
LCOR	duodenum	ACOT1, GRHPR, PAICS
LCOR	retina	ACOT1, GRHPR, PAICS
LCOR	bone marrow	ACOT1, GRHPR, PAICS
LCOR	small intestine	ACOT1, GRHPR, PAICS
JAGN1	liver	VAPB, VAPA, EHHADH, FIS1, MFF
JAGN1	adrenal gland	VAPB, VAPA, EHHADH, FIS1, MFF
MFSD14B	esophagus	PEX16
MFSD14B	skin	PEX16
MFSD14B	parathyroid gland	PEX16
TRIM63	tongue	ACBD4, EHHADH, TMEM35A, DECR2
TRIM63	heart muscle	ACBD4, EHHADH, TMEM35A, DECR2
TRIM63	skeletal muscle	ACBD4, EHHADH, TMEM35A, DECR2
SPATA22	testis	SOD1
LNX1	esophagus	CCDC33, PAICS, ACAT2
LNX1	salivary gland	CCDC33, PAICS, ACAT2
LNX1	adipose tissue	CCDC33, PAICS, ACAT2
LNX1	placenta	CCDC33, PAICS, ACAT2
MGARP	retina	SOD1
MGARP	cerebellum	SOD1
MGARP	ovary	SOD1
MGARP	adrenal gland	SOD1
SPSB2	kidney	NOS2, VIM
SPSB2	lung	NOS2, VIM
NFKBID	thymus	SAMD4A, POMC, VIM
LMNB2	cerebellum	SOD1
LMNB2	esophagus	SOD1
LMNB2	thymus	SOD1
ZNF587	retina	TRIM37
ZNF587	salivary gland	TRIM37
ZNF587	pituitary gland	TRIM37
ZNF587	rectum	TRIM37
MPND	liver	SOD1
MFSD5	esophagus	PEX19
MFSD5	skin	PEX19
MFSD5	vagina	PEX19
MFSD5	choroid plexus	PEX19
MFSD5	adrenal gland	PEX19
CEP19	retina	PEX13
CEP19	testis	PEX13
CEP19	cerebral cortex	PEX13
CEP19	basal ganglia	PEX13
CEP19	thymus	PEX13
ARHGAP19	testis	RHOA
ARHGAP19	bone marrow	RHOA
ARHGAP19	tonsil	RHOA
ARHGAP19	lymph node	RHOA
ARHGAP19	thymus	RHOA
UBL7	cerebral cortex	IDH1
UBL7	skeletal muscle	IDH1
TMEM128	spinal cord	MFF
TMEM128	epididymis	MFF
TMEM128	parathyroid gland	MFF
