tissue	Association_term	P-value-corrected	OR
hypothalamus	positive regulation of neurotransmitter secretion	0.03664394700375308	208.8333333333333
kidney	acetyl-CoA biosynthetic process from pyruvate	0.002638397808184535	208.8333333333333
kidney	proton transmembrane transport	0.02757147224711995	28.16374269005848
kidney	nitric oxide mediated signal transduction	0.02757147224711995	208.8333333333333
lymph node	double-strand break repair via break-induced replication	5.708404623005935e-4	208.8333333333333
lymph node	DNA replication initiation	0.003294713901138852	208.8333333333333
lymph node	DNA unwinding involved in DNA replication	0.003294713901138852	208.8333333333333
lymph node	DNA replication	0.005589780210604633	16.69014084507042
lymph node	regulation of DNA-templated DNA replication initiation	0.009427469333569447	65.20547945205479
lymph node	response to ionizing radiation	0.02248122903280942	32.57534246575342
lymph node	T cell receptor signaling pathway	0.0281504186020106	13.71527777777778
ovary	cytoplasmic translation	5.41406412134171e-13	168.9767441860465
ovary	translation	2.294524940499672e-9	43.07142857142857
ovary	placenta development	0.03712854141456626	69.92307692307692
ovary	ribosomal small subunit biogenesis	0.03712854141456626	69.92307692307692
placenta	peptide cross-linking	0.0220138398634283	111.9090909090909
placenta	positive regulation of axon extension	0.0220138398634283	111.9090909090909
placenta	positive regulation of cell migration	0.02665584616907244	9.656
seminal vesicle	wound healing	0.007514002251884291	66.96428571428571
seminal vesicle	actin filament organization	0.01390972150726133	38.90625
seminal vesicle	positive regulation of cell adhesion	0.03978570651573759	46.33333333333334
seminal vesicle	regulation of cell shape	0.03978570651573759	18.4
skeletal muscle	proteasome-mediated ubiquitin-dependent protein catabolic process	1.797447806362253e-6	6.632470588235294
skeletal muscle	ubiquitin-dependent protein catabolic process	0.002077724247931451	5.377826806398235
skeletal muscle	positive regulation of proteasomal protein catabolic process	0.01251888088675471	208.8333333333333
smooth muscle	actin filament organization	0.004644817635454631	37.60606060606061
smooth muscle	collagen biosynthetic process	0.01628327926319156	208.8333333333333
smooth muscle	regulation of heart contraction	0.02424485103564201	178.7142857142857
smooth muscle	collagen fibril organization	0.02424485103564201	178.7142857142857
smooth muscle	establishment or maintenance of cell polarity	0.03850587368208183	89.28571428571429
spleen	neutrophil chemotaxis	0.0179692525044418	40.06666666666667
spleen	defense response to protozoan	0.0179692525044418	208.8333333333333
spleen	type I interferon-mediated signaling pathway	0.0179692525044418	208.8333333333333
spleen	lymphoid progenitor cell differentiation	0.0179692525044418	208.8333333333333
spleen	negative regulation of B cell proliferation	0.0179692525044418	208.8333333333333
spleen	defense response to virus	0.0321267801466737	12.66949152542373
spleen	JNK cascade	0.03247854982541603	20
spleen	positive regulation of interleukin-1 beta production	0.03247854982541603	20
thymus	DNA replication	0.001347335642248512	21.47663551401869
thymus	positive regulation of DNA-templated transcription	0.002102747196898117	3.903657448706512
thymus	protein import into nucleus	0.002102747196898117	10.79245283018868
thymus	double-strand break repair via nonhomologous end joining	0.002102747196898117	18.61805555555556
thymus	double-strand break repair via break-induced replication	0.002102747196898117	208.8333333333333
thymus	double-strand break repair via homologous recombination	0.005598723434438454	21.10091743119266
thymus	double-strand break repair	0.006686525024870569	12.39043209876543
thymus	DNA replication initiation	0.00731580786142053	208.8333333333333
thymus	DNA unwinding involved in DNA replication	0.00731580786142053	208.8333333333333
thymus	mitotic spindle assembly checkpoint signaling	0.02550693452945902	41.51351351351352
thymus	positive regulation of protein import into nucleus	0.02550693452945902	41.51351351351352
thymus	regulation of DNA-templated DNA replication initiation	0.02550693452945902	41.51351351351352
thymus	V(D)J recombination	0.04957766220366133	208.8333333333333
thymus	B cell lineage commitment	0.04957766220366133	208.8333333333333
thymus	immunoglobulin V(D)J recombination	0.04957766220366133	208.8333333333333
thyroid gland	protein folding in endoplasmic reticulum	0.001568014273717767	140.3428571428572
tongue	proteasome-mediated ubiquitin-dependent protein catabolic process	0.004561277872318361	4.799844438682914
tongue	tricarboxylic acid cycle	0.004561277872318361	27.31468531468531
tongue	positive regulation of proteasomal protein catabolic process	0.005761124513968578	46.54166666666666
tonsil	double-strand break repair via break-induced replication	8.910183524516236e-4	208.8333333333333
tonsil	DNA replication initiation	0.00481302221154328	208.8333333333333
tonsil	DNA unwinding involved in DNA replication	0.00481302221154328	208.8333333333333
tonsil	protein import into nucleus	0.0137262519526394	9.969696969696969
tonsil	regulation of DNA-templated DNA replication initiation	0.0137262519526394	60.76923076923077
tonsil	positive regulation of DNA-templated transcription	0.04416183294150609	3.550678733031674
urinary bladder	response to nutrient	0.00305390800386532	125.5384615384615
vagina	negative regulation of ERK1 and ERK2 cascade	0.03726340693997918	18.83333333333333
vagina	negative regulation of protein kinase activity	0.03726340693997918	18.83333333333333
vagina	anterior/posterior pattern specification	0.03726340693997918	69.5
vagina	negative regulation of DNA-binding transcription factor activity	0.03726340693997918	25.95833333333333
vagina	regulation of neurogenesis	0.03726340693997918	208.8333333333333
vagina	cellular response to vascular endothelial growth factor stimulus	0.03726340693997918	52.08333333333334
vagina	response to estradiol	0.03726340693997918	25.95833333333333
vagina	positive regulation of T cell proliferation	0.03726340693997918	52.08333333333334
vagina	cell-cell adhesion	0.0414143721187847	14.76190476190476
vagina	protein-containing complex assembly	0.04562736877945472	10.83333333333333
vagina	central nervous system development	0.04562736877945472	12.89583333333333
