InteractorA	InteractorB	FoundInScreen	FoundInCheng	proteinA	proteinB	class
5192	5192	Y	Y	PEX10	PEX10	Both
5192	5193	Y	Y	PEX10	PEX12	Both
5192	5194	Y	N	PEX10	PEX13	iBret only
5192	51024	Y	N	PEX10	FIS1	iBret only
5192	219743	Y	N	PEX10	TYSND1	iBret only
5192	9409	Y	N	PEX10	PEX16	iBret only
5193	5195	N	Y	PEX12	PEX14	Cheng
5193	5830	Y	Y	PEX12	PEX5	Both
5193	5824	Y	Y	PEX12	PEX19	Both
5193	224	Y	N	PEX12	ALDH3A2	iBret only
5193	5194	Y	N	PEX12	PEX13	iBret only
5193	5827	Y	N	PEX12	PXMP2	iBret only
5193	1610	Y	N	PEX12	DAO	iBret only
5193	91452	Y	N	PEX12	ACBD5	iBret only
5193	6342	Y	N	PEX12	SCP2	iBret only
5193	5193	Y	N	PEX12	PEX12	iBret only
5193	9409	Y	N	PEX12	PEX16	iBret only
5193	55670	Y	N	PEX12	PEX26	iBret only
5194	5195	Y	Y	PEX13	PEX14	Both
5194	5830	Y	Y	PEX13	PEX5	Both
5194	5824	Y	Y	PEX13	PEX19	Both
5194	5194	Y	Y	PEX13	PEX13	Both
5194	215	Y	N	PEX13	ABCD1	iBret only
5194	224	Y	N	PEX13	ALDH3A2	iBret only
5194	55670	Y	N	PEX13	PEX26	iBret only
5195	3295	N	Y	PEX14	HSD17B4	Cheng
5195	6342	N	Y	PEX14	SCP2	Cheng
5195	5195	Y	Y	PEX14	PEX14	Both
5195	5824	Y	Y	PEX14	PEX19	Both
5195	5825	N	Y	PEX14	ABCD3	Cheng
5195	5828	N	Y	PEX14	PEX2	Cheng
5195	5830	Y	Y	PEX14	PEX5	Both
5195	8443	N	Y	PEX14	GNPAT	Cheng
5195	8504	N	Y	PEX14	PEX3	Cheng
5195	8540	N	Y	PEX14	AGPS	Cheng
5195	9409	N	Y	PEX14	PEX16	Cheng
5195	10059	N	Y	PEX14	DNM1L	Cheng
5195	10901	N	Y	PEX14	DHRS4	Cheng
5195	11001	N	Y	PEX14	SLC27A2	Cheng
5195	84188	Y	Y	PEX14	FAR1	Both
5195	84896	N	Y	PEX14	ATAD1	Cheng
5195	224	Y	N	PEX14	ALDH3A2	iBret only
5195	51024	Y	N	PEX14	FIS1	iBret only
5264	5825	N	Y	PHYH	ABCD3	Cheng
5264	5264	N	Y	PHYH	PHYH	Cheng
5264	23305	N	Y	PHYH	ACSL6	Cheng
5264	215	Y	N	PHYH	ABCD1	iBret only
5264	5830	Y	N	PHYH	PEX5	iBret only
5264	51703	Y	N	PHYH	ACSL5	iBret only
5264	5824	Y	N	PHYH	PEX19	iBret only
5264	23417	Y	N	PHYH	MLYCD	iBret only
5264	5052	Y	N	PHYH	PRDX1	iBret only
5824	215	Y	Y	PEX19	ABCD1	Both
5824	225	Y	Y	PEX19	ABCD2	Both
5824	5824	Y	Y	PEX19	PEX19	Both
5824	5825	Y	Y	PEX19	ABCD3	Both
5824	5827	Y	Y	PEX19	PXMP2	Both
5824	5828	N	Y	PEX19	PEX2	Cheng
5824	8504	Y	Y	PEX19	PEX3	Both
5824	9409	Y	Y	PEX19	PEX16	Both
5824	10478	Y	Y	PEX19	SLC25A17	Both
5824	55670	Y	Y	PEX19	PEX26	Both
5824	224	Y	N	PEX19	ALDH3A2	iBret only
5824	84188	Y	N	PEX19	FAR1	iBret only
5824	5830	Y	N	PEX19	PEX5	iBret only
5824	51024	Y	N	PEX19	FIS1	iBret only
5824	5052	Y	N	PEX19	PRDX1	iBret only
5824	10654	Y	N	PEX19	PMVK	iBret only
5824	51703	Y	N	PEX19	ACSL5	iBret only
5824	11001	Y	N	PEX19	SLC27A2	iBret only
5824	91452	Y	N	PEX19	ACBD5	iBret only
5824	3417	Y	N	PEX19	IDH1	iBret only
5824	26063	Y	N	PEX19	DECR2	iBret only
5824	3416	Y	N	PEX19	IDE	iBret only
5824	1891	Y	N	PEX19	ECH1	iBret only
5824	8443	Y	N	PEX19	GNPAT	iBret only
5824	6342	Y	N	PEX19	SCP2	iBret only
5824	6648	Y	N	PEX19	SOD2	iBret only
5824	54996	Y	N	PEX19	MARC2	iBret only
5824	3295	Y	N	PEX19	HSD17B4	iBret only
5824	23417	Y	N	PEX19	MLYCD	iBret only
5824	4358	Y	N	PEX19	MPV17	iBret only
5824	8540	Y	N	PEX19	AGPS	iBret only
5824	84896	Y	N	PEX19	ATAD1	iBret only
5824	55711	Y	N	PEX19	FAR2	iBret only
5825	8540	N	Y	ABCD3	AGPS	Cheng
5825	215	N	Y	ABCD3	ABCD1	Cheng
5825	225	N	Y	ABCD3	ABCD2	Cheng
5825	4358	N	Y	ABCD3	MPV17	Cheng
5825	5825	N	Y	ABCD3	ABCD3	Cheng
5825	8504	N	Y	ABCD3	PEX3	Cheng
5825	5830	Y	N	ABCD3	PEX5	iBret only
5825	51024	Y	N	ABCD3	FIS1	iBret only
5826	222659	Y	N	ABCD4	PXT1	iBret only
5826	5826	Y	N	ABCD4	ABCD4	iBret only
5826	5052	Y	N	ABCD4	PRDX1	iBret only
5827	215	Y	N	PXMP2	ABCD1	iBret only
5827	224	Y	N	PXMP2	ALDH3A2	iBret only
5827	5830	Y	N	PXMP2	PEX5	iBret only
5827	91452	Y	N	PXMP2	ACBD5	iBret only
5827	9409	Y	N	PXMP2	PEX16	iBret only
5827	55670	Y	N	PXMP2	PEX26	iBret only
5827	8504	Y	N	PXMP2	PEX3	iBret only
5827	84896	Y	N	PXMP2	ATAD1	iBret only
5827	5827	Y	N	PXMP2	PXMP2	iBret only
5827	10478	Y	N	PXMP2	SLC25A17	iBret only
5828	5830	N	Y	PEX2	PEX5	Cheng
5830	847	N	Y	PEX5	CAT	Cheng
5830	3295	Y	Y	PEX5	HSD17B4	Both
5830	1384	Y	Y	PEX5	CRAT	Both
5830	1891	Y	Y	PEX5	ECH1	Both
