Interactor_A,Interactor_B,Symbol_A,Symbol_B
10549,8458,10549,8458
10549,10013,10549,10013
10549,2033,10549,2033
10549,10549,10549,10549
10549,25898,10549,25898
10549,54935,10549,54935
10549,79087,10549,79087
10549,10935,10549,10935
10549,58155,10549,58155
80854,1786,80854,1786
80854,5573,80854,5573
80854,7026,80854,7026
80854,7157,80854,7157
80854,5111,80854,5111
80854,6881,80854,6881
2,2,2,2
2,60,2,60
2,348,2,348
2,351,2,351
2,476,2,476
2,998,2,998
2,1499,2,1499
2,1558,2,1558
2,1995,2,1995
2,2026,2,2026
2,2193,2,2193
2,2639,2,2639
2,2669,2,2669
2,2885,2,2885
2,3337,2,3337
2,3437,2,3437
2,5864,2,5864
2,5886,2,5886
2,5908,2,5908
2,6009,2,6009
2,6468,2,6468
2,6606,2,6606
2,6607,2,6607
2,7001,2,7001
2,7052,2,7052
2,7276,2,7276
2,7295,2,7295
2,7301,2,7301
2,7372,2,7372
2,8554,2,8554
2,9361,2,9361
2,10376,2,10376
2,10524,2,10524
2,10724,2,10724
2,10944,2,10944
2,11140,2,11140
2,22976,2,22976
2,23154,2,23154
2,23176,2,23176
2,24138,2,24138
2,51013,2,51013
2,51024,2,FIS1
2,51295,2,51295
2,54850,2,54850
2,57559,2,57559
2,64223,2,64223
2,65082,2,65082
2,93185,2,93185
2,112398,2,112398
2,115704,2,115704
2,126003,2,126003
2,140545,2,140545
2,163,2,163
2,639,2,639
2,1026,2,1026
2,3014,2,3014
2,3015,2,3015
2,3163,2,3163
2,3316,2,3316
2,4035,2,4035
2,4067,2,4067
2,4313,2,4313
2,4332,2,4332
2,5295,2,5295
2,6285,2,6285
2,7003,2,7003
2,7050,2,7050
2,7353,2,7353
2,7732,2,7732
2,8322,2,8322
2,8533,2,8533
2,8848,2,8848
2,9922,2,9922
2,9976,2,9976
2,10263,2,10263
2,10273,2,10273
2,10813,2,10813
2,11051,2,11051
2,11102,2,11102
2,11315,2,11315
2,22983,2,22983
2,23191,2,23191
2,23682,2,23682
2,26284,2,26284
2,51699,2,51699
2,55230,2,55230
2,55611,2,55611
2,55845,2,55845
2,56957,2,56957
2,57591,2,57591
2,58489,2,58489
2,84708,2,84708
2,84709,2,84709
2,93621,2,93621
2,93974,2,93974
2,116092,2,116092
2,138065,2,138065
2,415117,2,415117
60,60,60,60
60,71,60,ACTG1
60,582,60,582
60,585,60,585
60,1072,60,1072
60,1073,60,1073
60,1460,60,1460
60,1962,60,EHHADH
60,2033,60,2033
60,2167,60,2167
60,3312,60,3312
60,4093,60,4093
60,4736,60,4736
60,5216,60,5216
60,5879,60,5879
60,6047,60,6047
60,6606,60,6606
60,6607,60,6607
60,7253,60,7253
60,7329,60,7329
60,7965,60,7965
60,8087,60,8087
60,9468,60,9468
60,10486,60,10486
60,10576,60,10576
60,10657,60,10657
60,11034,60,11034
60,11140,60,11140
60,22948,60,22948
60,26260,60,26260
60,55093,60,55093
60,55729,60,55729
60,64714,60,64714
60,81565,60,81565
60,142679,60,142679
60,653361,60,653361
60,351,60,351
60,598,60,598
60,832,60,832
60,1026,60,1026
60,1104,60,1104
60,1387,60,1387
60,2934,60,2934
60,3014,60,3014
60,3064,60,3064
60,3184,60,3184
60,3316,60,3316
60,3987,60,3987
60,4703,60,4703
60,5108,60,5108
60,5792,60,5792
60,6117,60,6117
60,6118,60,6118
60,6119,60,6119
60,7178,60,7178
60,7248,60,7248
60,7276,60,7276
60,8500,60,8500
60,8507,60,8507
60,9948,60,9948
60,10131,60,10131
60,23400,60,23400
60,25913,60,25913
60,26277,60,26277
60,27185,60,27185
60,51699,60,51699
60,55742,60,55742
60,65057,60,65057
60,84458,60,84458
60,129831,60,129831
60,134492,60,134492
348,334,348,334
348,71,348,ACTG1
348,348,348,348
348,1558,348,1558
348,1994,348,1994
348,2193,348,2193
348,2639,348,2639
348,4035,348,4035
348,5110,348,5110
348,5324,348,5324
348,5654,348,5654
348,5663,348,5663
348,6009,348,6009
348,6124,348,6124
348,6625,348,6625
348,6767,348,6767
348,7001,348,7001
348,7301,348,7301
348,7329,348,7329
348,7436,348,7436
348,8554,348,8554
348,9063,348,9063
348,9361,348,9361
348,9911,348,9911
348,9922,348,9922
348,10210,348,10210
348,10401,348,10401
348,11140,348,11140
348,22874,348,22874
348,22905,348,22905
348,24138,348,24138
348,26036,348,26036
348,27250,348,27250
348,53822,348,53822
348,54850,348,54850
348,55738,348,55738
348,56172,348,56172
348,58526,348,58526
348,84171,348,84171
348,90580,348,90580
348,140545,348,140545
348,148156,348,148156
348,204851,348,204851
348,949,348,949
348,2898,348,2898
348,3075,348,3075
348,3437,348,3437
348,3949,348,3949
348,3956,348,3956
348,4133,348,4133
348,4137,348,4137
348,4502,348,4502
348,6285,348,6285
348,6653,348,6653
348,7126,348,7126
348,7412,348,7412
348,7572,348,7572
348,7804,348,7804
348,9039,348,9039
348,10181,348,10181
348,11186,348,11186
348,22921,348,22921
348,22983,348,22983
348,23548,348,23548
348,50808,348,50808
348,51295,348,51295
348,54778,348,54778
348,55813,348,55813
348,64858,348,64858
348,79096,348,79096
348,128653,348,128653
351,12,351,12
351,102,351,102
351,163,351,163
351,320,351,320
351,321,351,321
351,322,351,322
351,323,351,323
351,117,351,117
351,156,351,156
351,334,351,334
351,351,351,351
351,377,351,377
351,387,351,RHOA
351,572,351,572
351,596,351,596
351,642,351,642
351,811,351,811
351,815,351,815
351,821,351,821
351,823,351,823
351,836,351,836
351,839,351,839
351,841,351,841
351,857,351,CAV1
351,865,351,865
351,908,351,908
351,949,351,949
351,961,351,961
351,983,351,983
351,1020,351,1020
351,1031,351,1031
351,1072,351,1072
351,1139,351,1139
351,1191,351,1191
351,1287,351,1287
351,1288,351,1288
351,1453,351,1453
351,1457,351,1457
351,1601,351,1601
351,1639,351,1639
351,1810,351,1810
351,1839,351,1839
351,1848,351,1848
351,1857,351,1857
351,1956,351,1956
351,2002,351,2002
351,2035,351,2035
351,2185,351,2185
351,2192,351,2192
351,2259,351,2259
351,2273,351,2273
351,2280,351,2280
351,2319,351,2319
351,2534,351,2534
351,2870,351,2870
351,2902,351,2902
351,2923,351,2923
351,2932,351,2932
351,2948,351,2948
351,2959,351,2959
351,2971,351,2971
351,3028,351,3028
351,3064,351,3064
351,3084,351,3084
351,3146,351,3146
351,3163,351,3163
351,3309,351,3309
351,3312,351,3312
351,3316,351,3316
351,3320,351,3320
351,3329,351,HSPD1
351,3416,351,IDE
351,3437,351,3437
351,3688,351,3688
351,3725,351,3725
351,3727,351,3727
351,3831,351,3831
351,3910,351,3910
351,4035,351,4035
351,4043,351,4043
351,4047,351,4047
351,4067,351,4067
351,4088,351,4088
351,4089,351,4089
351,4137,351,4137
351,4139,351,4139
351,4193,351,4193
351,4313,351,4313
351,4582,351,4582
351,4666,351,4666
351,4681,351,4681
351,4729,351,4729
351,4735,351,4735
351,4744,351,4744
351,4747,351,4747
351,4804,351,4804
351,4860,351,4860
351,4914,351,4914
351,4924,351,4924
351,4929,351,4929
351,5045,351,5045
351,5080,351,5080
351,5108,351,5108
351,5156,351,5156
351,5159,351,5159
351,5178,351,5178
351,5223,351,5223
351,5291,351,5291
351,5295,351,5295
351,5300,351,5300
351,5347,351,5347
351,5354,351,5354
351,5413,351,5413
351,5414,351,5414
351,5478,351,5478
351,5499,351,5499
351,5504,351,5504
351,5515,351,5515
351,5520,351,5520
351,5521,351,5521
351,5525,351,5525
351,5533,351,5533
351,5567,351,5567
351,5580,351,5580
351,5581,351,5581
351,5585,351,5585
351,5594,351,5594
351,5605,351,MAP2K2
351,5631,351,5631
351,5660,351,5660
351,5663,351,5663
351,5664,351,5664
351,5702,351,5702
351,5864,351,5864
351,5870,351,5870
351,5872,351,5872
351,5879,351,5879
351,5980,351,5980
351,6158,351,6158
351,6196,351,6196
351,6198,351,6198
351,6300,351,6300
351,6303,351,6303
351,6310,351,6310
351,6477,351,6477
351,6620,351,6620
351,6653,351,6653
351,6710,351,6710
351,6733,351,6733
351,6750,351,6750
351,6774,351,6774
351,6780,351,6780
351,6811,351,6811
351,6812,351,6812
351,6855,351,6855
351,6872,351,6872
351,6900,351,6900
351,6908,351,6908
351,7050,351,7050
351,7107,351,7107
351,7114,351,7114
351,7165,351,7165
351,7184,351,7184
351,7267,351,7267
351,7277,351,7277
351,7314,351,7314
351,7322,351,7322
351,7345,351,7345
351,7374,351,7374
351,7529,351,7529
351,7532,351,7532
351,7572,351,7572
351,7692,351,7692
351,7732,351,7732
351,7767,351,7767
351,7770,351,7770
351,7846,351,7846
351,7917,351,7917
351,7965,351,7965
351,8192,351,8192
351,8260,351,8260
351,8514,351,8514
351,8650,351,8650
351,8774,351,8774
351,8848,351,8848
351,8878,351,8878
