Interactor_A,Interactor_B,PI,HuInteractome,Symbol_A,Symbol_B
122970,5830,1.0,,ACOT4,PEX5
122970,6342,1.0,,ACOT4,SCP2
54363,10005,1.0,,HAO1,ACOT8
54363,54363,1.0,,HAO1,HAO1
54363,25824,1.0,,HAO1,PRDX5
54363,4591,1.0,,HAO1,TRIM37
219743,51024,1.0,,TYSND1,FIS1
219743,84129,1.0,,TYSND1,ACAD11
219743,10005,1.0,,TYSND1,ACOT8
219743,23305,1.0,,TYSND1,ACSL6
219743,1891,1.0,,TYSND1,ECH1
219743,25824,1.0,,TYSND1,PRDX5
219743,6648,1.0,,TYSND1,SOD2
219743,219743,1.0,,TYSND1,TYSND1
8799,5824,1.0,1.0,PEX11B,PEX19
8799,5830,1.0,,PEX11B,PEX5
8799,5052,1.0,,PEX11B,PRDX1
8799,6647,1.0,,PEX11B,SOD1
8799,91452,1.0,,PEX11B,ACBD5
8799,8799,1.0,,PEX11B,PEX11B
8799,92960,1.0,,PEX11B,PEX11G
8799,55670,1.0,,PEX11B,PEX26
8799,6648,1.0,,PEX11B,SOD2
8800,26061,1.0,,PEX11A,HACL1
8800,5824,1.0,,PEX11A,PEX19
284273,5830,1.0,,PTGR3,PEX5
284273,641371,1.0,,PTGR3,ACOT1
284273,5824,1.0,,PTGR3,PEX19
284273,5828,1.0,,PTGR3,PEX2
284273,6342,1.0,,PTGR3,SCP2
284273,8528,1.0,,PTGR3,DDO
284273,284273,1.0,,PTGR3,PTGR3
56947,10059,,1.0,MFF,DNM1L
56947,56947,,1.0,MFF,MFF
8309,5830,1.0,,ACOX2,PEX5
8309,5826,1.0,,ACOX2,ABCD4
8309,10654,1.0,,ACOX2,PMVK
8309,5824,1.0,,ACOX2,PEX19
8310,5830,1.0,,ACOX3,PEX5
8310,5824,1.0,,ACOX3,PEX19
2182,51024,1.0,,ACSL4,FIS1
2182,5824,1.0,,ACSL4,PEX19
83594,373156,1.0,,NUDT12,GSTK1
83594,83594,1.0,,NUDT12,NUDT12
5264,215,1.0,,PHYH,ABCD1
5264,5830,1.0,,PHYH,PEX5
5264,51703,1.0,,PHYH,ACSL5
5264,5824,1.0,,PHYH,PEX19
5264,23417,1.0,,PHYH,MLYCD
5264,5052,1.0,,PHYH,PRDX1
10901,84188,1.0,,DHRS4,FAR1
10901,10005,1.0,,DHRS4,ACOT8
10901,10901,1.0,,DHRS4,DHRS4
10901,3416,1.0,,DHRS4,IDE
10901,5824,1.0,,DHRS4,PEX19
10901,55670,1.0,,DHRS4,PEX26
84129,5830,1.0,,ACAD11,PEX5
84129,5824,1.0,,ACAD11,PEX19
84129,6342,1.0,,ACAD11,SCP2
6647,25824,,1.0,SOD1,PRDX5
6647,6647,1.0,1.0,SOD1,SOD1
6647,10059,,1.0,SOD1,DNM1L
6647,373156,,1.0,SOD1,GSTK1
6647,5826,1.0,,SOD1,ABCD4
189,189,1.0,1.0,AGXT,AGXT
189,5830,1.0,1.0,AGXT,PEX5
189,5052,1.0,,AGXT,PRDX1
189,373156,1.0,,AGXT,GSTK1
189,5824,1.0,,AGXT,PEX19
5824,215,1.0,1.0,PEX19,ABCD1
5824,225,1.0,1.0,PEX19,ABCD2
5824,5824,1.0,1.0,PEX19,PEX19
5824,5825,1.0,1.0,PEX19,ABCD3
5824,5828,,1.0,PEX19,PEX2
5824,8504,1.0,1.0,PEX19,PEX3
5824,9409,1.0,1.0,PEX19,PEX16
5824,55670,1.0,1.0,PEX19,PEX26
5824,10478,1.0,1.0,PEX19,SLC25A17
5824,6648,1.0,,PEX19,SOD2
5824,224,1.0,,PEX19,ALDH3A2
5824,84188,1.0,,PEX19,FAR1
5824,5830,1.0,,PEX19,PEX5
5824,5827,1.0,,PEX19,PXMP2
5824,51024,1.0,,PEX19,FIS1
5824,5052,1.0,,PEX19,PRDX1
5824,10654,1.0,,PEX19,PMVK
5824,51703,1.0,,PEX19,ACSL5
5824,11001,1.0,,PEX19,SLC27A2
5824,91452,1.0,,PEX19,ACBD5
5824,3417,1.0,,PEX19,IDH1
5824,26063,1.0,,PEX19,DECR2
5824,3416,1.0,,PEX19,IDE
5824,1891,1.0,,PEX19,ECH1
5824,8443,1.0,,PEX19,GNPAT
5824,6342,1.0,,PEX19,SCP2
5824,54996,1.0,,PEX19,MTARC2
5824,3295,1.0,,PEX19,HSD17B4
5824,23417,1.0,,PEX19,MLYCD
5824,4358,1.0,,PEX19,MPV17
5824,8540,1.0,,PEX19,AGPS
5824,84896,1.0,,PEX19,ATAD1
5824,55711,1.0,,PEX19,FAR2
5825,215,,1.0,ABCD3,ABCD1
5825,5825,,1.0,ABCD3,ABCD3
5825,5830,1.0,,ABCD3,PEX5
5825,51024,1.0,,ABCD3,FIS1
5826,5826,1.0,1.0,ABCD4,ABCD4
5826,222659,1.0,,ABCD4,PXT1
5826,5052,1.0,,ABCD4,PRDX1
5827,9409,1.0,,PXMP2,PEX16
5827,215,1.0,,PXMP2,ABCD1
5827,224,1.0,,PXMP2,ALDH3A2
5827,5830,1.0,,PXMP2,PEX5
5827,91452,1.0,,PXMP2,ACBD5
5827,55670,1.0,,PXMP2,PEX26
5827,8504,1.0,,PXMP2,PEX3
5827,84896,1.0,,PXMP2,ATAD1
5827,5827,1.0,,PXMP2,PXMP2
5827,10478,1.0,,PXMP2,SLC25A17
9409,8504,1.0,1.0,PEX16,PEX3
9409,224,1.0,,PEX16,ALDH3A2
9409,5830,1.0,,PEX16,PEX5
9409,51024,1.0,,PEX16,FIS1
9409,9409,1.0,,PEX16,PEX16
9409,55670,1.0,,PEX16,PEX26
5830,847,,1.0,PEX5,CAT
5830,1891,1.0,1.0,PEX5,ECH1
5830,4591,,1.0,PEX5,TRIM37
5830,10005,1.0,1.0,PEX5,ACOT8
5830,6648,1.0,,PEX5,SOD2
5830,6342,1.0,,PEX5,SCP2
5830,215,1.0,,PEX5,ABCD1
5830,224,1.0,,PEX5,ALDH3A2
5830,1962,1.0,,PEX5,EHHADH
5830,84188,1.0,,PEX5,FAR1
5830,8540,1.0,,PEX5,AGPS
5830,26063,1.0,,PEX5,DECR2
5830,373156,1.0,,PEX5,GSTK1
5830,3295,1.0,,PEX5,HSD17B4
5830,23417,1.0,,PEX5,MLYCD
5830,10455,1.0,,PEX5,ECI2
5830,5830,1.0,,PEX5,PEX5
5830,5052,1.0,,PEX5,PRDX1
5830,225,1.0,,PEX5,ABCD2
5830,91452,1.0,,PEX5,ACBD5
